time,"I(LQ|XSSA1)"
1.808600e-09,9.259265e-05
1.808800e-09,9.267583e-05
1.809000e-09,9.272922e-05
1.809200e-09,9.275121e-05
1.809400e-09,9.274276e-05
1.809600e-09,9.270679e-05
1.809800e-09,9.264762e-05
1.810000e-09,9.257025e-05
1.810200e-09,9.247984e-05
1.810400e-09,9.238130e-05
1.810600e-09,9.227905e-05
1.810800e-09,9.217704e-05
1.811000e-09,9.207876e-05
1.811200e-09,9.198749e-05
1.811400e-09,9.190636e-05
1.811600e-09,9.183841e-05
1.811800e-09,9.178650e-05
1.812000e-09,9.175305e-05
1.812200e-09,9.173964e-05
1.812400e-09,9.174660e-05
1.812600e-09,9.177259e-05
1.812800e-09,9.181441e-05
1.813000e-09,9.186690e-05
1.813200e-09,9.192323e-05
1.813400e-09,9.197540e-05
1.813600e-09,9.201497e-05
1.813800e-09,9.203395e-05
1.814000e-09,9.202570e-05
1.814200e-09,9.198573e-05
1.814400e-09,9.191226e-05
1.814600e-09,9.180652e-05
1.814800e-09,9.167265e-05
1.815000e-09,9.151739e-05
1.815200e-09,9.134932e-05
1.815400e-09,9.117807e-05
1.815600e-09,9.101332e-05
1.815800e-09,9.086389e-05
1.816000e-09,9.073685e-05
1.816200e-09,9.063688e-05
1.816400e-09,9.056584e-05
1.816600e-09,9.052263e-05
1.816800e-09,9.050333e-05
1.817000e-09,9.050160e-05
1.817200e-09,9.050933e-05
1.817400e-09,9.051743e-05
1.817600e-09,9.051672e-05
1.817800e-09,9.049880e-05
1.818000e-09,9.045676e-05
1.818200e-09,9.038584e-05
1.818400e-09,9.028368e-05
1.818600e-09,9.015045e-05
1.818800e-09,8.998867e-05
1.819000e-09,8.980277e-05
1.819200e-09,8.959859e-05
1.819400e-09,8.938271e-05
1.819600e-09,8.916186e-05
1.819800e-09,8.894230e-05
1.820000e-09,8.872936e-05
1.820200e-09,8.852712e-05
1.820400e-09,8.833819e-05
1.820600e-09,8.816366e-05
1.820800e-09,8.800315e-05
1.821000e-09,8.785497e-05
1.821200e-09,8.771627e-05
1.821400e-09,8.758337e-05
1.821600e-09,8.745195e-05
1.821800e-09,8.731738e-05
1.822000e-09,8.717499e-05
1.822200e-09,8.702029e-05
1.822400e-09,8.684925e-05
1.822600e-09,8.665852e-05
1.822800e-09,8.644553e-05
1.823000e-09,8.620868e-05
1.823200e-09,8.594736e-05
1.823400e-09,8.566195e-05
1.823600e-09,8.535378e-05
1.823800e-09,8.502498e-05
1.824000e-09,8.467836e-05
1.824200e-09,8.431717e-05
1.824400e-09,8.394488e-05
1.824600e-09,8.356493e-05
1.824800e-09,8.318051e-05
1.825000e-09,8.279430e-05
1.825200e-09,8.240832e-05
1.825400e-09,8.202372e-05
1.825600e-09,8.164071e-05
1.825800e-09,8.125851e-05
1.826000e-09,8.087534e-05
1.826200e-09,8.048852e-05
1.826400e-09,8.009460e-05
1.826600e-09,7.968950e-05
1.826800e-09,7.926876e-05
1.827000e-09,7.882776e-05
1.827200e-09,7.836193e-05
1.827400e-09,7.786699e-05
1.827600e-09,7.733912e-05
1.827800e-09,7.677508e-05
1.828000e-09,7.617231e-05
1.828200e-09,7.552895e-05
1.828400e-09,7.484380e-05
1.828600e-09,7.411619e-05
1.828800e-09,7.334594e-05
1.829000e-09,7.253311e-05
1.829200e-09,7.167788e-05
1.829400e-09,7.078037e-05
1.829600e-09,6.984046e-05
1.829800e-09,6.885766e-05
1.830000e-09,6.783093e-05
1.830200e-09,6.675862e-05
1.830400e-09,6.563835e-05
1.830600e-09,6.446689e-05
1.830800e-09,6.324013e-05
1.831000e-09,6.195302e-05
1.831200e-09,6.059957e-05
1.831400e-09,5.917287e-05
1.831600e-09,5.766511e-05
1.831800e-09,5.606773e-05
1.832000e-09,5.437144e-05
1.832200e-09,5.256642e-05
1.832400e-09,5.064239e-05
1.832600e-09,4.858882e-05
1.832800e-09,4.639515e-05
1.833000e-09,4.405111e-05
1.833200e-09,4.154712e-05
1.833400e-09,3.887493e-05
1.833600e-09,3.602831e-05
1.833800e-09,3.300403e-05
1.834000e-09,2.980295e-05
1.834200e-09,2.643135e-05
1.834400e-09,2.290226e-05
1.834600e-09,1.923676e-05
1.834800e-09,1.546517e-05
1.835000e-09,1.162770e-05
1.835200e-09,7.774575e-06
1.835400e-09,3.965304e-06
1.835600e-09,2.671056e-07
1.835800e-09,-3.247479e-06
1.836000e-09,-6.503571e-06
1.836200e-09,-9.427236e-06
1.836400e-09,-1.194877e-05
1.836600e-09,-1.400573e-05
1.836800e-09,-1.554567e-05
1.837000e-09,-1.652848e-05
1.837200e-09,-1.692847e-05
1.837400e-09,-1.673621e-05
1.837600e-09,-1.596018e-05
1.837800e-09,-1.462811e-05
1.838000e-09,-1.278790e-05
1.838200e-09,-1.050793e-05
1.838400e-09,-7.876429e-06
1.838600e-09,-4.999586e-06
1.838800e-09,-1.998135e-06
