time,"V(B11|XBFR1)","V(B21|XBFR1)","I(B11|XBFR1)","I(B21|XBFR1)"
5.900000e-11,-2.192079e-06,-2.120336e-06,-4.725143e-05,4.544452e-05
5.920000e-11,-2.451530e-06,-2.379267e-06,-4.721124e-05,4.547776e-05
5.940000e-11,-2.327797e-06,-2.265205e-06,-4.717044e-05,4.551203e-05
5.960000e-11,-1.856992e-06,-1.810191e-06,-4.713516e-05,4.554199e-05
5.980000e-11,-1.125502e-06,-1.097683e-06,-4.711038e-05,4.556312e-05
6.000000e-11,-2.547335e-07,-2.476795e-07,-4.709933e-05,4.557249e-05
6.020000e-11,6.182842e-07,6.036056e-07,-4.710309e-05,4.556916e-05
6.040000e-11,1.361663e-06,1.325859e-06,-4.712055e-05,4.555426e-05
6.060000e-11,1.868002e-06,1.814693e-06,-4.714860e-05,4.553065e-05
6.080000e-11,2.069687e-06,2.006387e-06,-4.718261e-05,4.550239e-05
6.100000e-11,1.947946e-06,1.885384e-06,-4.721716e-05,4.547397e-05
6.120000e-11,1.534239e-06,1.484017e-06,-4.724691e-05,4.544964e-05
6.140000e-11,9.037403e-07,8.751864e-07,-4.726744e-05,4.543283e-05
6.160000e-11,1.620393e-07,1.596052e-07,-4.727596e-05,4.542571e-05
6.180000e-11,-5.725894e-07,-5.502906e-07,-4.727167e-05,4.542896e-05
6.200000e-11,-1.188203e-06,-1.147424e-06,-4.725584e-05,4.544169e-05
6.220000e-11,-1.596250e-06,-1.545820e-06,-4.723144e-05,4.546167e-05
6.240000e-11,-1.744007e-06,-1.692819e-06,-4.720259e-05,4.548559e-05
6.260000e-11,-1.620732e-06,-1.576016e-06,-4.717387e-05,4.550966e-05
6.280000e-11,-1.257104e-06,-1.223858e-06,-4.714959e-05,4.553016e-05
6.300000e-11,-7.185578e-07,-6.998402e-07,-4.713318e-05,4.554405e-05
6.320000e-11,-9.390496e-08,-9.132260e-08,-4.712675e-05,4.554947e-05
6.340000e-11,5.188603e-07,5.050492e-07,-4.713087e-05,4.554594e-05
6.360000e-11,1.027495e-06,9.987733e-07,-4.714451e-05,4.553444e-05
6.380000e-11,1.359079e-06,1.319185e-06,-4.716525e-05,4.551710e-05
6.400000e-11,1.470328e-06,1.425304e-06,-4.718968e-05,4.549684e-05
6.420000e-11,1.353163e-06,1.310558e-06,-4.721391e-05,4.547686e-05
6.440000e-11,1.034744e-06,1.002034e-06,-4.723424e-05,4.546015e-05
6.460000e-11,5.720132e-07,5.547805e-07,-4.724770e-05,4.544905e-05
6.480000e-11,4.173437e-08,4.231074e-08,-4.725250e-05,4.544500e-05
6.500000e-11,-4.722278e-07,-4.551379e-07,-4.724829e-05,4.544831e-05
