time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|XBS)","I(LQ|XBC)"
4.620000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-8.629106e-07,6.190559e-07
4.640000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-7.706519e-07,1.125608e-06
4.660000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.941069e-07,1.496714e-06
4.680000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.659127e-07,1.690000e-06
4.700000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.236892e-07,1.684377e-06
4.720000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.608541e-08,1.482585e-06
4.740000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.633669e-07,1.110726e-06
4.760000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.582834e-07,6.148742e-07
4.780000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.729353e-07,5.520276e-08
4.800000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.112268e-07,-5.015956e-07
4.820000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.870189e-07,-9.905884e-07
4.840000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.111800e-08,-1.356499e-06
4.860000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.622865e-07,-1.560200e-06
4.880000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.391354e-07,-1.583022e-06
4.900000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.884811e-07,-1.428384e-06
4.920000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.946196e-07,-1.120642e-06
4.940000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.482467e-07,-7.013888e-07
4.960000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.466846e-07,-2.237614e-07
4.980000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.933491e-07,2.544591e-07
5.000000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.966954e-07,6.780216e-07
5.020000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.688810e-07,1.000734e-06
5.040000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.243436e-07,1.190551e-06
5.060000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-7.841752e-08,1.232653e-06
5.080000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.394683e-08,1.130252e-06
5.100000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.593499e-07,9.031558e-07
5.120000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.269957e-07,5.844108e-07
5.140000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.496189e-07,2.155532e-07
5.160000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.242432e-07,-1.588443e-07
5.180000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.526839e-07,-4.966088e-07
5.200000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.168689e-08,-7.627094e-07
5.220000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-9.740816e-08,-9.327739e-07
5.240000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.495540e-07,-9.950473e-07
5.260000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.974324e-07,-9.506927e-07
5.280000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.233485e-07,-8.125498e-07
